Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193801,2.96,11.05,-1.24,0.51,-2.47,-2.43,5.92,3.52,-5.7,0.49
193802,3.46,3.47,8.67,9.42,4.34,-2.32,9.5,8.61,3.64,4.88
193803,-15.79,-27.35,-25.72,-25.2,-27.72,-17.44,-22.19,-14.44,-19.61,-29.74
193804,12.27,14.85,13.88,15.92,16.76,13.47,16.18,11.82,14.78,14.53
193805,-0.23,-6.92,-6.89,-5.82,-2.99,0.83,-3.86,1.71,2.21,-3.96
193806,13.2,36.01,32.89,21.98,27.3,12.42,24.03,10.07,16.9,24.86
193807,6.61,19.89,6.8,7.38,5.85,1.28,9.06,5.8,0.68,10
193808,-4.02,5.97,-1.92,-8.82,-1.19,0.28,-2.4,0.36,-5.53,-3.73
193809,0.51,0.69,1.67,0.82,1.6,0.85,0.06,-0.01,1.23,-1.25
193810,5.15,6.49,10.61,-1.56,10.08,3.56,8.04,5.63,21.09,11.1
193811,-2.49,-1.2,-1.45,-0.11,-4.34,0.65,-0.37,1.44,-7.01,-2.02
193812,2.76,2.12,5.59,4.86,3.08,2.57,1.03,0.85,3.95,6.32
193901,-1.92,-8.33,-9.32,-6.29,-7.5,1.81,-3.14,-0.96,1.21,-8.65
193902,2.46,7.06,3,-1.18,2.76,3.53,6.2,3.72,8.78,4.7
193903,-5.75,-17.63,-15.57,-8.31,-14.99,-2.21,-9.59,-4.33,-13.63,-14.95
193904,0.62,0.72,-1.32,-1.06,-2.71,2.75,-0.13,1,3.03,-1.83
193905,5.47,7.89,7.62,2.56,8.28,5.56,11.38,5.49,6.61,8.01
193906,-2.04,-6.78,-6.38,-6.12,-8,-3.79,-2.7,1.1,-3.55,-7.62
193907,6.22,17.58,12.9,3.03,14.04,6.51,8.71,3.08,12.71,11.59
193908,-7.36,-6.94,-6.79,-3.91,-8.09,-4.19,-7.33,-5.43,-6.01,-9.97
193909,4.79,23.72,27,25.56,12.26,2.37,1.59,7.07,3.6,25.59
193910,3.26,-1.4,-2.56,-3.93,-0.89,3.05,5.77,0.21,2.11,-1.59
193911,-0.47,-2.92,-5.99,-6.14,-2.59,0.97,-2.31,1.22,-1.49,-5.05
193912,3.17,3.88,3.97,-0.08,3.61,2.87,3.03,3.77,2.95,2.38
194001,1.69,-3.83,-4.63,-2.19,-4.2,-0.12,-0.95,-1.79,-0.05,-2.66
194002,0.94,2.08,2.7,0.97,-0.58,1.04,2.51,1.48,-1.24,0.88
194003,1.65,3.78,1.54,1.72,3.05,1.16,3.08,1.9,1.74,2.63
194004,1.75,-0.54,0.76,0.18,-1.49,0.33,-0.13,-0.31,-1.35,-0.77
194005,-20.91,-26.04,-22.21,-24.47,-20.77,-14.13,-24.41,-21.21,-19.94,-24.01
194006,5.38,8.68,4.2,5.67,3.01,8.72,9.01,4.91,17.43,8.56
194007,-0.02,5.92,4.33,3.19,5,1.97,4.39,-0.52,0.08,3.38
194008,1.34,7.39,2.49,1.42,3.31,-0.36,2.9,-2.29,-1.04,2.88
194009,2.53,3.17,4.14,-2.26,4.22,1.66,3.32,4.61,-2.19,2.46
194010,-1.41,3.94,4.1,6.3,2.43,1.61,0.08,-3,3.82,5.3
194011,-0.99,-0.63,-1.48,0.87,-2.81,0.61,-2.15,-1.82,-13.06,-0.09
194012,0.55,-3.29,1.19,2.31,-0.09,2.04,0.43,-0.23,1.76,0.24
194101,-0.51,-9.22,-7.09,-2.14,-2.56,-2.1,-3.63,-2.19,-2.16,-1.62
194102,-2.49,1.27,-2.04,-0.69,-0.34,-2.23,-2.53,-4.69,-1.2,-0.31
194103,0.56,-1.7,0.77,3.74,0.34,1.78,1.21,1.77,-3.33,1.81
194104,-4.13,-10.57,-5.69,1.4,-8.83,-6.35,-5.22,-5.22,-9.61,-4.44
194105,-1.4,0.41,3.66,5.46,-0.42,0.4,2.27,-1.45,-4.43,-0.93
194106,6.28,3.9,6.48,5.22,10.76,5.04,5.1,6.72,3.94,4.51
194107,5.53,3.97,7.11,11.06,1.8,-0.38,4.74,8.03,5.33,7.52
194108,0.83,2.34,-0.65,-3.46,0.74,1.06,2.37,0.08,-2.06,0.2
194109,1.78,4.14,-2.9,-0.66,-0.78,0.25,0.43,-0.21,-2.85,-2.57
194110,-7.04,-7.98,-6.43,2.19,-10.11,-2.72,-5.2,-3.69,-9.68,-4.11
194111,-3.15,-3.64,-1.39,3.13,-2.04,-4.03,-4.52,-2.93,-6.68,-1.54
194112,-3.95,-11.79,0.78,-11.1,0.47,-8.59,-9.83,-1.59,-7.48,-5.36
194201,2.54,6.25,-2.19,-1.63,0.95,-1.37,0.66,-2.99,4.09,9.54
194202,-5.5,5.15,-2.41,-5.83,-2.46,-0.57,-1.92,-5.35,-2.45,-1.86
194203,-8.29,1.42,-5.56,-8.24,-6.27,-6.91,-7.09,-5.54,-12.13,-8.98
194204,-4.1,-4.37,-4.59,-3.57,-3.62,-7.32,-5.88,-4.45,-3.42,-2
194205,8.76,9.95,1.75,6.77,7.86,7.72,11.75,14.69,8.4,3.55
194206,3.55,1.77,3.51,4.42,4.58,-2.23,2.54,2.85,1.7,1.97
194207,2.42,2.1,2.76,6.05,1.81,4.48,4.96,1.6,-0.44,6.59
194208,0.8,2.33,1.34,3.54,0.73,2.49,1.71,2.43,0.8,2.41
194209,-0.07,2.59,3.25,2.36,5.16,2.04,0.67,0.26,5.83,3.38
194210,4.51,5.82,6.72,9.62,6.27,6.19,0.62,4.13,15.15,8.91
194211,2.71,-0.14,-2.36,0.91,2.02,2.63,6.66,1.58,-1.31,-2.06
194212,4.72,8.19,5.27,7.49,6.14,0.35,2.73,8.69,4.36,4.47
194301,9.14,5.24,6.98,6.4,9.8,3.78,6.92,2.47,14.7,7.06
194302,3.62,7.58,5.23,7.91,3.43,8.81,3.08,3.64,7.92,9.43
194303,4.36,5.06,6,7,7.42,0.62,8.68,4.56,4.67,10.07
194304,1.03,0.53,-1.43,0.97,1.18,4.16,1.87,1.4,4.02,2.19
194305,6.56,6.58,5.37,5.69,6.26,4.57,7.49,5.13,4.55,5.58
194306,2.05,4.85,0.87,1.19,2.42,2.27,5.59,0.5,4.19,-0.78
194307,-1.87,-9.7,-6.81,-2.86,-7.31,-0.18,-3.15,-3.26,-0.49,-5.21
194308,0.94,3.48,0.67,1.1,0.49,0.91,3.74,0.26,1.84,1.41
194309,2.18,1.69,2.66,1.41,5.18,1.45,2.16,4.02,3.87,2.18
194310,-0.27,-1.12,-0.84,-2.06,-3.43,0.73,-2.4,0.57,0.56,-1.08
194311,-4.57,-5.32,-6.44,-6.93,-6.43,-1.74,-4.5,-3.93,-8.38,-7.97
194312,6.14,7.94,5.9,7.2,8,3.14,6.92,3.94,7.41,7.16
194401,3.97,1.02,1.94,0.61,0.63,0.86,0.78,0.29,-0.33,4.48
194402,-0.53,3.68,-0.36,0.09,-2.13,0.88,1.05,-2.64,1.52,2.06
194403,2.83,4.77,2.27,1.87,3.79,0.74,2.28,2.46,1.79,2.65
194404,-1.95,-1.18,-2.03,-1.37,-1.92,-0.57,-1,-2.36,-0.92,-2.45
194405,5.33,7.91,5.56,4.97,3.63,2.83,5.07,5.68,2.78,4.28
194406,5.64,9.31,7.1,0.53,7.49,3.21,5.83,3.85,4.91,5.94
194407,-0.35,-4.93,-1.95,-1.21,-1.82,-0.37,-0.08,-1.24,0.2,-0.8
194408,2.56,3.98,2.16,-1.94,1.96,0.67,3.12,0.76,3.66,0.36
194409,-0.23,0.61,0.55,-1.38,-0.65,0.27,1.81,0.43,-1.53,0.11
194410,-0.03,-2.74,-0.33,1.87,0.82,0.75,0.44,1.09,1.36,0.69
194411,1.27,2.22,0.86,2.63,1.59,0.7,2.79,0.52,-0.4,4.29
194412,2.03,3.97,4.24,5.14,4.64,0.72,2.15,1.71,3.11,8.45
194501,2.64,1.37,2.8,4.92,0.67,-2.11,0.07,0.56,5.69,0.61
194502,3.95,7.65,6.95,7.31,6.6,2.85,4.52,4.25,6.11,7.85
194503,-3,-6.03,-4.78,-5.25,-3.81,-0.11,-1.37,-1.83,-3.09,-3.53
194504,7.1,11.15,8.41,6.9,8.05,2.51,7.16,6.33,10.1,8.82
194505,2.33,0.78,0.8,-0.87,1.82,3.76,6.26,4.11,1.89,3.09
194506,0.89,-1.53,-0.16,-0.5,-1.88,2.62,-3.14,-4.65,5.16,4.46
194507,-1.44,-0.98,-2.99,-3.23,-1.73,2.18,-0.11,-1.62,-0.33,-5.47
194508,7.72,9.41,8.83,2.22,9.74,1.74,8.22,9.19,1.03,2.56
194509,6.28,2.74,6.17,1.98,3.4,1.9,5.64,6.51,6.59,6.08
194510,6.77,0.2,2.28,6.33,0.76,2.36,5.96,6.61,6.18,5.76
194511,3.68,2.62,4.84,8.37,2.7,3.39,6.92,8.58,4.81,9.14
194512,1.29,2.54,1.56,-0.24,2.63,0.48,3.46,1.53,-1,0.15
194601,4.85,6.67,8,-0.07,6.45,1.91,10.98,7.76,10.84,7.4
194602,-4.82,-8.94,-6.09,-4.67,-7.36,-2.82,-4.23,-4.31,-5.73,-6.14
194603,6.35,0.98,5.67,11.04,2.15,1.16,11.4,14.57,6.27,4.67
194604,3.54,1.42,4.33,8.77,1.7,1.59,7.2,14.67,4.34,1.7
194605,3.35,5.14,5.01,3.68,5.14,2.82,1.9,5.64,3.04,3.38
194606,-3.6,-5.92,-3.58,-3.15,-5.26,0.3,-7.69,-5.52,-2.8,-3.26
194607,-0.75,-4.75,-3.27,-0.06,-3.29,-0.08,-2.99,-3.22,-3.63,-4.95
194608,-5.27,-10.34,-6.69,-5.61,-6.89,-7,-4.83,-3.24,-5.35,-6.78
194609,-10.68,-14.88,-10.39,-8.05,-9.79,-4.74,-6.88,-7.03,-8.97,-14.38
194610,0.39,-3.31,-1.88,-0.66,-2.82,-5.13,-2.25,-0.24,1.43,-0.46
194611,-1.31,-1.13,1.74,0.56,-2.12,1.79,-4.94,1.67,0.8,0
194612,3.75,6.16,6.64,4.39,4.73,3.77,4.06,7.23,6.09,2.77
194701,0.23,10.9,0.9,-0.65,5.38,1.03,0.68,-5.32,-0.14,0.46
194702,-0.31,1.54,-0.68,-2.7,-2.08,-2.05,-0.39,-4.19,-0.9,-1.27
194703,-2.2,-2.7,-1.6,2.29,-2.29,-2.15,-2.2,-1.26,-2.79,-3.33
194704,-6.68,-4.08,-5.74,-0.44,-5.21,-0.22,-7.97,-8.6,-3.75,-6.26
194705,-0.5,-2.16,-2.09,2.52,-0.29,-1.1,-0.37,-2.68,-2.48,-2.07
194706,6.53,5.87,5.74,7.76,3.87,-3.17,9.88,4.19,3.97,3.18
194707,4.65,5.2,3.88,3.87,6.34,0.81,4.61,2.6,2.54,5.99
194708,-1.38,-0.76,-1.01,-2.3,-4.21,0.36,-3.54,-3.83,0.24,-3.18
194709,0.4,0.17,0.7,-2.71,1.13,0.84,-2.8,-2.62,-1.31,-0.97
194710,1.36,2.93,3.24,5.24,1.74,0.21,3.03,1.22,0.15,1.01
194711,-1.69,-2.68,-1.2,-0.34,-0.55,-2.57,-2.41,-3.04,-7.6,-1.98
194712,0.69,2.24,2.62,9.29,2.48,0.44,0.36,3.1,1.19,3.7
194801,-2.69,-5.35,-4.08,-7.43,-5.53,0.1,-3.29,-8.23,-0.21,-0.86
194802,-6.12,-5.42,-5.33,-2.96,-3.94,-1.06,-3.8,-3.53,-3.47,-4.11
194803,5.46,7.25,9.62,9.93,11.1,1.95,6.67,6.33,6.61,9.93
194804,1.31,1.17,2.51,11.22,-0.59,2.65,5.08,2.14,1.5,3.24
194805,5.09,14.43,7.87,6.08,12.77,2.49,8.57,6.78,5.74,6.79
194806,-2,0.3,-0.98,3.49,-1.41,0.44,-1.3,-2.19,2.59,-0.82
194807,-1.67,-4.37,-4.99,-7.18,-6.6,-1.65,-7.72,-4.25,-4.36,-4.96
194808,0.02,1.12,0.41,-2.01,3.07,0.06,2.49,-1.9,0.1,1.53
194809,-3.95,-3.88,-2.65,-4.46,-3.17,-0.23,-0.93,-3.08,-0.91,-3.42
194810,3.64,7.95,6.69,9.2,6.85,1.11,4.14,5.19,4.43,4.95
194811,-6.17,-11.87,-10.15,-12.18,-9.25,-2.06,-5.72,-5.74,-9.07,-10.58
194812,0.68,3.44,4.04,4.72,6.31,1.09,1.53,4.54,2.66,2.87
194901,3.67,2.44,0.31,-3.83,-1.33,-1.26,1.17,4.57,4.76,0.31
194902,-1.93,-3.69,-3.43,-4.3,-4.21,-0.3,-2.27,-0.93,0.67,-3.17
194903,3.2,3.42,3.56,6.06,5.82,1.36,4.39,5.5,3.78,4.89
194904,-1.64,-4.22,-3.54,1.28,-3.71,-1.64,-1.64,0.24,1.23,-1.54
194905,-0.42,-2.83,-3.3,-5.63,-5.3,-2.18,0.19,-1.88,-0.58,-2.67
194906,1.02,1.29,0.23,-1.18,0.11,1.12,2.86,2.16,-0.93,-1.37
194907,4.94,9.43,5.94,6.24,6.9,2.41,5.16,6,4.74,4.19
194908,3.97,2.31,2.17,5.49,0.75,0.98,1.5,0.19,3.68,1.45
194909,2.83,2.65,3.93,3.03,3.65,1.23,2.32,1.86,4.05,3.4
194910,1.53,7.34,4.34,3.71,3.74,1.88,0.66,3.38,1.31,2.44
194911,1.84,4.75,3.24,-2.77,3.9,1.67,2.1,4.81,3.28,1.21
194912,5.13,8.27,6.5,1.09,9.17,1.59,4.76,8.7,3.25,7.17
195001,1.37,1.87,1.98,-0.64,4.53,1.86,0.43,1.06,3.75,3.19
195002,0.53,3.49,1.94,-0.53,3.4,0.66,2.32,1.92,2.4,1.02
195003,-0.56,1.86,0.81,4.85,2.42,4.57,-0.17,-2.9,0.56,-0.68
195004,0.14,10.57,7.45,3.23,4.73,2.37,-0.36,5.52,0.95,1.5
195005,2.07,6.44,5.98,8.8,0.23,1.97,3.16,3.96,1.83,1.36
195006,-5.69,-4.04,-6.55,-4.52,-7.96,-4.28,-4.42,-4.19,-7.66,-6.8
195007,0.44,-2.71,2.14,8.81,-2.92,-1.33,-0.96,-6.94,-5.23,7.49
195008,3.94,9.23,6.34,4.32,5.26,2.56,4.38,3.68,3.39,2.3
195009,4.88,8.79,4.5,3.53,5.01,-0.46,8.46,6.15,4.51,6.52
195010,-0.37,0.61,0.46,0.29,-1.49,0.21,0.84,-1.76,-0.74,-1.52
195011,0.02,-2.61,5.94,5.28,2.64,-0.24,1.11,4.68,-1.18,3.94
195012,2.83,1.5,6.69,8.68,3.88,1.89,2.76,6.06,3.59,11.04
195101,4.62,9.22,6.13,6.3,7.73,1.88,3.62,3.1,5.04,6.4
195102,0.96,2.8,1.23,0.96,0.92,4.11,3.12,1.46,3.11,-0.41
